City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
316,Caraballeda,VE,84.27,broken clouds,10.6112,-66.8522,Hotel 15 Letras
317,San Lazaro,BZ,83.91,overcast clouds,18.0387,-88.6622,
318,Reo,BF,80.37,broken clouds,12.3167,-2.4667,Hôtel Deogratias
320,Soyo,AO,76.93,overcast clouds,-6.1349,12.3689,Hotel Mpampa
322,Kavieng,PG,84.94,broken clouds,-2.5744,150.7967,Nusa Island Retreat
324,Vao,NC,70.7,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
326,Marsa Matruh,EG,71.8,few clouds,31.3525,27.2453,Beau Site
327,Auki,SB,83.55,few clouds,-8.7676,160.7034,Auki Motel
328,Ampanihy,MG,68.22,scattered clouds,-24.7,44.75,Angora Hotel
330,Manokwari,ID,81.91,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
332,San Patricio,US,88.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
334,Nishihara,JP,76.28,scattered clouds,26.1842,127.7558,Minshuku Agaihama
336,Puerto Padre,CU,83.41,broken clouds,21.195,-76.6028,El Paseo
337,Kavaratti,IN,81.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
340,Bandar-E Lengeh,IR,81.09,clear sky,26.5579,54.8807,کافی نت پارس
341,Pontes E Lacerda,BR,70.32,overcast clouds,-15.2261,-59.3353,Hotel Bressan
342,Port Blair,IN,79.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
343,Marana,US,89.94,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
344,Te Anau,NZ,62.69,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
346,Manuk Mangkaw,PH,82.13,broken clouds,4.8,119.85,
347,Aztec,US,67.41,scattered clouds,36.8222,-107.9929,Presidential Inn & Suites
348,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
350,Sagua La Grande,CU,81.59,heavy intensity rain,22.8067,-80.0756,Hotel Telégrafo
351,Adrar,MR,82.08,scattered clouds,20.5022,-10.0711,
352,Cascais,PT,61.5,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
353,Luena,AO,63.21,moderate rain,-11.7833,19.9167,Hotel Kandamba
354,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
355,Syracuse,IT,69.39,scattered clouds,37.0881,15.2792,Hotel Posta
356,Masallatah,LY,68.2,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
360,Statesville,US,68.23,clear sky,35.7826,-80.8873,Courtyard by Marriott Statesville Mooresville/Lake Norman
361,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
362,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
363,Lethem,GY,80.1,broken clouds,3.3803,-59.7968,Savannah Inn
366,Morondava,MG,72.52,clear sky,-20.2833,44.2833,La Case Bambou
368,Sao Gabriel Da Cachoeira,BR,78.21,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
373,Puerto Penasco,MX,77.92,broken clouds,31.3167,-113.5333,Playa Bonita Resort
374,Flinders,AU,68.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
375,Pimentel,PE,62.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
379,Kampong Thum,KH,73.45,broken clouds,12.7111,104.8887,Sambor Village Hotel
380,Lagos,NG,79.12,broken clouds,6.5833,3.75,
382,Pedernales,DO,81.1,broken clouds,18.0384,-71.744,Hotel Costa Marina
384,Narasannapeta,IN,72.61,few clouds,18.4167,84.05,G.lingaraju home
385,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
388,Biltine,TD,82.81,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
389,Cihuatlan,MX,82.33,broken clouds,19.2366,-104.5651,OYO Hotel Posada Agua Escondida
390,Santa Maria,BR,60.1,clear sky,-29.6842,-53.8069,Hotel Morotin
395,Lalmohan,BD,73.89,clear sky,22.3384,90.7419,Sundorbon courier service
396,Chokwe,MZ,66.36,light rain,-24.5333,32.9833,Complexo Sonho Real
399,Misasi,TZ,74.46,broken clouds,-3.0,33.0833,
400,Luwuk,ID,84.33,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
401,Najran,SA,63.25,few clouds,17.4924,44.1277,محمد هادي ال فطيح
402,Laguna,US,63.46,heavy intensity rain,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
403,Cabatuan,PH,80.01,overcast clouds,10.8794,122.486,MVC Transient Room
406,Lorengau,PG,82.65,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
407,Ruidoso,US,69.3,clear sky,33.3317,-105.673,Inn of the Mountain Gods
410,Boundiali,CI,73.11,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
411,Campos,BR,74.07,overcast clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
414,Meulaboh,ID,75.06,overcast clouds,4.1363,96.1285,Kost Pria
415,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
417,Dayong,CN,70.9,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
419,Amapa,BR,73.29,broken clouds,1.0,-52.0,
420,Kimbe,PG,85.77,light rain,-5.5502,150.1429,Kimbe Bay Hotel
422,Karachi,PK,69.62,haze,24.9056,67.0822,Sadaat
426,Itapora,BR,66.49,broken clouds,-22.0799,-54.7874,Hotel Santa Fé
427,Andilamena,MG,66.74,overcast clouds,-17.0167,48.5833,Police men home Andilamina
428,Kingman,US,75.29,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
430,Weligama,LK,77.38,overcast clouds,5.9667,80.4167,Weligama Bay Resort
431,Tezu,IN,67.71,scattered clouds,27.9167,96.1667,Circuit House
433,Bitung,ID,83.25,scattered clouds,1.4451,125.1824,K2 Lembeh
435,Gat,IL,68.68,clear sky,31.61,34.7642,OlusHome
436,Porbandar,IN,77.47,clear sky,21.6422,69.6093,Lords Inn Porbandar
440,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
441,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
442,Moussoro,TD,87.26,few clouds,13.6408,16.4901,Hôtel Maltina
444,Manakara,MG,75.97,overcast clouds,-22.1333,48.0167,La Residence Manakara
446,Vanimo,PG,83.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
447,Abapo,BO,69.08,broken clouds,-18.8333,-63.4667,
449,Muisne,EC,76.14,overcast clouds,0.6,-80.0333,Quinta Samay
