City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
149,Lata,PT,40.1629,-8.3327,56.8,74,0,1.66,clear sky
150,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,19.57,overcast clouds
151,Shitanjing,CN,39.2342,106.3439,44.6,44,63,3.42,broken clouds
152,Saint George,US,37.1041,-113.5841,73.87,31,1,1.99,clear sky
153,Praia,CV,14.9215,-23.5087,77.54,78,20,19.57,few clouds
154,Nantucket,US,41.2835,-70.0995,55.96,66,1,4.61,clear sky
155,Vostok,RU,46.4856,135.8833,42.82,54,1,3.49,clear sky
156,Vila,PT,42.0304,-8.1588,51.93,93,69,1.59,broken clouds
157,Homer,US,59.6425,-151.5483,48.78,79,1,6.91,clear sky
158,Sinnai,IT,39.3042,9.2036,63.5,81,20,9.22,few clouds
159,Ponta Do Sol,PT,32.6667,-17.1,70.72,71,96,6.31,overcast clouds
160,Mayumba,GA,-3.432,10.6554,76.33,92,100,5.61,light rain
161,Snyder,US,32.7179,-100.9176,86.34,14,1,6.91,clear sky
162,Brae,GB,60.3964,-1.353,53.51,85,75,14.18,broken clouds
163,Kapchorwa,UG,1.3965,34.4509,59.2,68,20,4.79,few clouds
164,Qaanaaq,GL,77.484,-69.3632,-5.26,61,0,10.33,clear sky
165,Huambo,AO,-12.7761,15.7392,64.18,83,100,1.14,overcast clouds
166,Ancud,CL,-41.8697,-73.8203,54.93,87,88,17.13,overcast clouds
167,Faya,SA,18.3851,42.4509,55.92,57,13,2.48,few clouds
168,Kupang,ID,-10.1667,123.5833,84.78,74,20,4.61,few clouds
169,Sambava,MG,-14.2667,50.1667,75.24,87,96,5.91,light rain
170,Chuy,UY,-33.6971,-53.4616,57.7,75,0,8.68,clear sky
171,Kirakira,SB,-10.4544,161.9205,85.33,70,37,9.82,scattered clouds
172,Bima,ID,-8.4667,118.7167,86.81,60,56,1.74,broken clouds
173,Williams Lake,CA,52.1415,-122.1445,51.37,52,90,8.01,overcast clouds
174,Istria,RO,44.5667,28.7167,40.15,64,4,8.61,clear sky
175,Beyneu,KZ,45.3167,55.2,53.17,39,97,8.28,overcast clouds
176,Iquitos,PE,-3.7481,-73.2472,84.24,79,40,1.14,scattered clouds
177,Severodvinsk,RU,64.5635,39.8302,32.11,85,69,14.5,broken clouds
178,Churapcha,RU,62.0025,132.4325,29.59,97,100,6.6,light snow
179,Carnarvon,AU,-24.8667,113.6333,69.87,68,75,14.97,broken clouds
180,Coihaique,CL,-45.5752,-72.0662,48.15,76,90,8.05,moderate rain
181,Ust-Nera,RU,64.5667,143.2,10.51,95,98,5.88,overcast clouds
182,Sitka,US,57.0531,-135.33,49.89,57,40,0.0,scattered clouds
183,Hudiksvall,SE,61.729,17.1036,49.51,76,100,13.53,overcast clouds
184,Coahuayana,MX,18.7333,-103.6833,80.1,88,99,2.46,overcast clouds
185,Poum,NC,-20.2333,164.0167,76.15,70,41,10.51,scattered clouds
186,Marsh Harbour,BS,26.5412,-77.0636,80.38,79,95,12.59,overcast clouds
187,Camana,PE,-16.6228,-72.7111,61.9,83,30,7.07,scattered clouds
188,Puerto Madryn,AR,-42.7692,-65.0385,69.49,29,87,31.05,overcast clouds
189,La Peca,PE,-5.6111,-78.435,72.48,81,88,4.18,light rain
190,Itoman,JP,26.1247,127.6694,77.02,72,20,9.22,few clouds
191,Mount Gambier,AU,-37.8333,140.7667,55.31,62,90,8.05,overcast clouds
192,Alofi,NU,-19.0595,-169.9187,82.29,54,47,17.27,light rain
193,High Level,CA,58.5169,-117.136,39.31,100,90,10.36,mist
194,Busko-Zdroj,PL,50.4708,20.7188,39.09,78,25,6.55,scattered clouds
195,Natal,BR,-5.795,-35.2094,81.25,78,20,9.22,few clouds
196,Namibe,AO,-15.1961,12.1522,62.96,86,0,5.5,clear sky
197,Avera,US,33.194,-82.5271,69.71,52,96,4.41,overcast clouds
198,Acapulco,MX,16.8634,-99.8901,78.58,85,100,8.37,overcast clouds
199,Provideniya,RU,64.3833,-173.3,26.71,59,0,4.47,clear sky
200,Hambantota,LK,6.1241,81.1185,77.9,81,100,4.85,overcast clouds
201,Darovskoy,RU,58.77,47.9564,31.55,78,100,10.2,light snow
202,Flin Flon,CA,54.7682,-101.865,39.04,70,75,10.36,broken clouds
203,Necochea,AR,-38.5473,-58.7368,61.03,53,7,14.5,clear sky
204,Marianske Lazne,CZ,49.9646,12.7012,37.63,80,4,3.02,clear sky
205,Lagoa,PT,39.05,-27.9833,66.31,73,32,8.25,scattered clouds
206,Port Hedland,AU,-20.3167,118.5667,80.65,34,6,6.91,clear sky
207,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,11.5,clear sky
208,Bridgetown,BB,13.1,-59.6167,81.09,78,40,21.85,scattered clouds
209,Opuwo,NA,-18.0607,13.84,66.94,23,2,7.52,clear sky
210,Rio Gallegos,AR,-51.6226,-69.2181,46.45,23,0,26.46,clear sky
211,Visby,SE,57.6409,18.296,48.85,81,0,13.8,clear sky
212,Maceio,BR,-9.6658,-35.7353,78.24,94,0,5.75,clear sky
213,Freeport,US,40.6576,-73.5832,59.25,68,1,3.0,clear sky
214,Pamfila,GR,39.1567,26.5217,55.17,66,79,25.01,broken clouds
215,Yellowknife,CA,62.456,-114.3525,42.42,85,75,20.71,broken clouds
216,Leh,IN,34.1667,77.5833,28.09,88,97,3.78,overcast clouds
217,Kisangani,CD,0.5167,25.2,70.2,99,100,1.41,light rain
218,Bereda,ES,43.2686,-7.5406,52.92,100,19,1.81,few clouds
219,Bavly,RU,54.393,53.2602,36.43,81,73,2.48,broken clouds
220,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,8.05,scattered clouds
221,Saint Anthony,US,45.0205,-93.218,48.54,58,1,1.01,clear sky
222,Ishigaki,JP,24.3448,124.1572,75.33,78,40,8.05,scattered clouds
223,Sao Filipe,CV,14.8961,-24.4956,78.06,70,52,10.8,broken clouds
224,Bredasdorp,ZA,-34.5322,20.0403,50.29,87,0,3.44,clear sky
225,Batsfjord,NO,70.6345,29.7185,27.52,79,51,6.24,broken clouds
226,Umm Kaddadah,SD,13.6017,26.6876,82.17,23,5,17.16,clear sky
227,Leningradskiy,RU,69.3833,178.4167,6.35,90,99,6.93,overcast clouds
228,Klaksvik,FO,62.2266,-6.589,49.12,88,92,25.23,overcast clouds
229,Sarangani,PH,5.4033,125.4636,82.92,71,93,3.44,overcast clouds
230,Arlit,NE,18.7369,7.3853,80.78,12,2,0.85,clear sky
231,Mhango,TZ,-3.2833,32.85,72.16,72,79,3.29,broken clouds
232,Davidson,US,36.1501,-86.7833,72.36,69,37,11.5,scattered clouds
233,Angoche,MZ,-16.2325,39.9086,77.23,82,4,9.08,clear sky
234,Ostrovnoy,RU,68.0531,39.5131,33.94,61,70,16.04,light rain
235,Tarko-Sale,RU,64.9225,77.785,23.04,89,26,15.57,scattered clouds
236,Sudak,UA,44.85,34.9667,45.28,66,16,9.06,few clouds
237,Husavik,IS,66.0449,-17.3389,39.11,95,100,14.83,overcast clouds
238,Northam,GB,51.0333,-4.2167,57.02,95,37,13.78,light rain
239,San Roque,ES,36.2107,-5.3842,65.23,88,28,10.36,scattered clouds
240,Koubia,GN,11.5833,-11.9,67.6,94,72,2.01,moderate rain
241,Anupgarh,IN,29.1911,73.2086,71.35,70,1,4.99,clear sky
242,Mehamn,NO,71.0357,27.8492,24.75,80,0,8.05,clear sky
243,Bintulu,MY,3.1667,113.0333,77.41,94,20,1.99,few clouds
244,Dingle,PH,10.9995,122.6711,80.01,85,99,0.87,overcast clouds
245,Aleksandrov Gay,RU,50.147,48.5704,43.16,58,100,6.55,overcast clouds
246,Isangel,VU,-19.55,169.2667,80.71,74,75,6.91,broken clouds
247,Bubaque,GW,11.2833,-15.8333,82.62,74,99,8.84,overcast clouds
248,Bagotville,AU,-28.9833,153.4167,71.42,89,83,2.19,broken clouds
249,Nuevitas,CU,21.5453,-77.2644,80.04,84,96,7.25,overcast clouds
250,Nagua,DO,19.3832,-69.8474,80.65,83,20,6.91,few clouds
251,Boshnyakovo,RU,49.6333,142.1667,45.61,66,17,8.93,few clouds
252,Yar-Sale,RU,66.8333,70.8333,22.48,80,22,13.2,few clouds
253,Sri Aman,MY,1.2376,111.4621,77.09,94,48,0.0,scattered clouds
254,Sterling,US,39.0062,-77.4286,65.86,80,40,1.01,scattered clouds
255,Mega,ET,4.05,38.3,61.99,72,12,7.54,few clouds
256,Pitsunda,GE,43.1592,40.3378,51.98,85,100,10.83,light rain
257,Clyde River,CA,70.4692,-68.5914,12.11,81,62,4.54,broken clouds
258,Chernyshevskiy,RU,63.0128,112.4714,31.8,98,100,6.4,light snow
259,Arraial Do Cabo,BR,-22.9661,-42.0278,71.44,93,100,11.36,overcast clouds
260,Khao Wong,TH,16.7001,104.0902,65.34,83,94,4.65,overcast clouds
261,Kaitangata,NZ,-46.2817,169.8464,61.63,69,86,6.73,overcast clouds
262,Geraldton,AU,-28.7667,114.6,67.12,72,75,4.61,broken clouds
